Sector,month,total_monthes,国内生产总值,第一产业,第三产业,第二产业
Computer software,9,1,176710.5,18087.5,86957.6,71665.3
Sales management,9,1,176710.5,18087.5,86957.6,71665.3
market/marketing,9,1,176710.5,18087.5,86957.6,71665.3
Sales,9,1,176710.5,18087.5,86957.6,71665.3
Computer hardware,9,1,176710.5,18087.5,86957.6,71665.3
Internet development and application,9,1,176710.5,18087.5,86957.6,71665.3
IT-Management,9,1,176710.5,18087.5,86957.6,71665.3
"IT-QM, technical support and more",9,1,176710.5,18087.5,86957.6,71665.3
Communications technology,9,1,176710.5,18087.5,86957.6,71665.3
Electronics/appliances/semiconductor/instrumentation,9,1,176710.5,18087.5,86957.6,71665.3
Finance/auditing/tax,9,1,176710.5,18087.5,86957.6,71665.3
Engineering/machinery/energy,9,1,176710.5,18087.5,86957.6,71665.3
HR,9,1,176710.5,18087.5,86957.6,71665.3
Senior management,9,1,176710.5,18087.5,86957.6,71665.3
Logistics/warehousing,9,1,176710.5,18087.5,86957.6,71665.3
Art/graphics/Animation design,9,1,176710.5,18087.5,86957.6,71665.3
Science & Technology,9,1,176710.5,18087.5,86957.6,71665.3
Legal profession/law,9,1,176710.5,18087.5,86957.6,71665.3
Education,9,1,176710.5,18087.5,86957.6,71665.3
Hospital/medical/care,9,1,176710.5,18087.5,86957.6,71665.3
Counsel/consulting,9,1,176710.5,18087.5,86957.6,71665.3
Transportation service,9,1,176710.5,18087.5,86957.6,71665.3
Translation,9,1,176710.5,18087.5,86957.6,71665.3
Construction/infrastructure/gardening,9,1,176710.5,18087.5,86957.6,71665.3
Office administration/logistics,9,1,176710.5,18087.5,86957.6,71665.3
Customer service and technical support,9,1,176710.5,18087.5,86957.6,71665.3
Securities/finance/investment,9,1,176710.5,18087.5,86957.6,71665.3
Insurance,9,1,176710.5,18087.5,86957.6,71665.3
Production/operation,9,1,176710.5,18087.5,86957.6,71665.3
QMS/safety/environmental protection,9,1,176710.5,18087.5,86957.6,71665.3
Technical work,9,1,176710.5,18087.5,86957.6,71665.3
Procurement,9,1,176710.5,18087.5,86957.6,71665.3
Trade,9,1,176710.5,18087.5,86957.6,71665.3
Biology/chemicals/pharmaceuticals/medical equipment,9,1,176710.5,18087.5,86957.6,71665.3
Advertising,9,1,176710.5,18087.5,86957.6,71665.3
PRs and news media,9,1,176710.5,18087.5,86957.6,71665.3
"Movies, TV and recreation",9,1,176710.5,18087.5,86957.6,71665.3
Literature/screenwriting/writing,9,1,176710.5,18087.5,86957.6,71665.3
Real property,9,1,176710.5,18087.5,86957.6,71665.3
Property management,9,1,176710.5,18087.5,86957.6,71665.3
Restaurants & recreation,9,1,176710.5,18087.5,86957.6,71665.3
Hotels/tourism,9,1,176710.5,18087.5,86957.6,71665.3
Beauty and personal care,9,1,176710.5,18087.5,86957.6,71665.3
General merchandise/chains/retail,9,1,176710.5,18087.5,86957.6,71665.3
Security/housekeeping/other,9,1,176710.5,18087.5,86957.6,71665.3
Graduates,9,1,176710.5,18087.5,86957.6,71665.3
Other,9,1,176710.5,18087.5,86957.6,71665.3
Computer software,10,2,192851.9,22517.5,91831.6,78502.9
Sales management,10,2,192851.9,22517.5,91831.6,78502.9
market/marketing,10,2,192851.9,22517.5,91831.6,78502.9
Sales,10,2,192851.9,22517.5,91831.6,78502.9
Computer hardware,10,2,192851.9,22517.5,91831.6,78502.9
Internet development and application,10,2,192851.9,22517.5,91831.6,78502.9
IT-Management,10,2,192851.9,22517.5,91831.6,78502.9
"IT-QM, technical support and more",10,2,192851.9,22517.5,91831.6,78502.9
Communications technology,10,2,192851.9,22517.5,91831.6,78502.9
Electronics/appliances/semiconductor/instrumentation,10,2,192851.9,22517.5,91831.6,78502.9
Finance/auditing/tax,10,2,192851.9,22517.5,91831.6,78502.9
Engineering/machinery/energy,10,2,192851.9,22517.5,91831.6,78502.9
HR,10,2,192851.9,22517.5,91831.6,78502.9
Senior management,10,2,192851.9,22517.5,91831.6,78502.9
Logistics/warehousing,10,2,192851.9,22517.5,91831.6,78502.9
Art/graphics/Animation design,10,2,192851.9,22517.5,91831.6,78502.9
Science & Technology,10,2,192851.9,22517.5,91831.6,78502.9
Education,10,2,192851.9,22517.5,91831.6,78502.9
Hospital/medical/care,10,2,192851.9,22517.5,91831.6,78502.9
Counsel/consulting,10,2,192851.9,22517.5,91831.6,78502.9
Transportation service,10,2,192851.9,22517.5,91831.6,78502.9
Translation,10,2,192851.9,22517.5,91831.6,78502.9
Construction/infrastructure/gardening,10,2,192851.9,22517.5,91831.6,78502.9
Office administration/logistics,10,2,192851.9,22517.5,91831.6,78502.9
Customer service and technical support,10,2,192851.9,22517.5,91831.6,78502.9
Securities/finance/investment,10,2,192851.9,22517.5,91831.6,78502.9
Insurance,10,2,192851.9,22517.5,91831.6,78502.9
Production/operation,10,2,192851.9,22517.5,91831.6,78502.9
QMS/safety/environmental protection,10,2,192851.9,22517.5,91831.6,78502.9
Technical work,10,2,192851.9,22517.5,91831.6,78502.9
Procurement,10,2,192851.9,22517.5,91831.6,78502.9
Trade,10,2,192851.9,22517.5,91831.6,78502.9
Biology/chemicals/pharmaceuticals/medical equipment,10,2,192851.9,22517.5,91831.6,78502.9
Advertising,10,2,192851.9,22517.5,91831.6,78502.9
"Movies, TV and recreation",10,2,192851.9,22517.5,91831.6,78502.9
Literature/screenwriting/writing,10,2,192851.9,22517.5,91831.6,78502.9
Real property,10,2,192851.9,22517.5,91831.6,78502.9
Property management,10,2,192851.9,22517.5,91831.6,78502.9
Restaurants & recreation,10,2,192851.9,22517.5,91831.6,78502.9
Hotels/tourism,10,2,192851.9,22517.5,91831.6,78502.9
Beauty and personal care,10,2,192851.9,22517.5,91831.6,78502.9
General merchandise/chains/retail,10,2,192851.9,22517.5,91831.6,78502.9
Security/housekeeping/other,10,2,192851.9,22517.5,91831.6,78502.9
Graduates,10,2,192851.9,22517.5,91831.6,78502.9
Other,10,2,192851.9,22517.5,91831.6,78502.9
Computer software,11,3,192851.9,22517.5,91831.6,78502.9
Sales management,11,3,192851.9,22517.5,91831.6,78502.9
market/marketing,11,3,192851.9,22517.5,91831.6,78502.9
Sales,11,3,192851.9,22517.5,91831.6,78502.9
Computer hardware,11,3,192851.9,22517.5,91831.6,78502.9
Internet development and application,11,3,192851.9,22517.5,91831.6,78502.9
IT-Management,11,3,192851.9,22517.5,91831.6,78502.9
"IT-QM, technical support and more",11,3,192851.9,22517.5,91831.6,78502.9
Communications technology,11,3,192851.9,22517.5,91831.6,78502.9
Electronics/appliances/semiconductor/instrumentation,11,3,192851.9,22517.5,91831.6,78502.9
Finance/auditing/tax,11,3,192851.9,22517.5,91831.6,78502.9
Engineering/machinery/energy,11,3,192851.9,22517.5,91831.6,78502.9
HR,11,3,192851.9,22517.5,91831.6,78502.9
Senior management,11,3,192851.9,22517.5,91831.6,78502.9
Logistics/warehousing,11,3,192851.9,22517.5,91831.6,78502.9
Art/graphics/Animation design,11,3,192851.9,22517.5,91831.6,78502.9
Science & Technology,11,3,192851.9,22517.5,91831.6,78502.9
Legal profession/law,11,3,192851.9,22517.5,91831.6,78502.9
Education,11,3,192851.9,22517.5,91831.6,78502.9
Hospital/medical/care,11,3,192851.9,22517.5,91831.6,78502.9
Counsel/consulting,11,3,192851.9,22517.5,91831.6,78502.9
Transportation service,11,3,192851.9,22517.5,91831.6,78502.9
Translation,11,3,192851.9,22517.5,91831.6,78502.9
Construction/infrastructure/gardening,11,3,192851.9,22517.5,91831.6,78502.9
Office administration/logistics,11,3,192851.9,22517.5,91831.6,78502.9
Customer service and technical support,11,3,192851.9,22517.5,91831.6,78502.9
Securities/finance/investment,11,3,192851.9,22517.5,91831.6,78502.9
Insurance,11,3,192851.9,22517.5,91831.6,78502.9
Production/operation,11,3,192851.9,22517.5,91831.6,78502.9
QMS/safety/environmental protection,11,3,192851.9,22517.5,91831.6,78502.9
Technical work,11,3,192851.9,22517.5,91831.6,78502.9
Fashion/textile/furs,11,3,192851.9,22517.5,91831.6,78502.9
Procurement,11,3,192851.9,22517.5,91831.6,78502.9
Trade,11,3,192851.9,22517.5,91831.6,78502.9
Biology/chemicals/pharmaceuticals/medical equipment,11,3,192851.9,22517.5,91831.6,78502.9
Advertising,11,3,192851.9,22517.5,91831.6,78502.9
"Movies, TV and recreation",11,3,192851.9,22517.5,91831.6,78502.9
Literature/screenwriting/writing,11,3,192851.9,22517.5,91831.6,78502.9
Real property,11,3,192851.9,22517.5,91831.6,78502.9
Property management,11,3,192851.9,22517.5,91831.6,78502.9
Restaurants & recreation,11,3,192851.9,22517.5,91831.6,78502.9
Hotels/tourism,11,3,192851.9,22517.5,91831.6,78502.9
Beauty and personal care,11,3,192851.9,22517.5,91831.6,78502.9
General merchandise/chains/retail,11,3,192851.9,22517.5,91831.6,78502.9
Security/housekeeping/other,11,3,192851.9,22517.5,91831.6,78502.9
Graduates,11,3,192851.9,22517.5,91831.6,78502.9
Other,11,3,192851.9,22517.5,91831.6,78502.9
Computer software,12,4,192851.9,22517.5,91831.6,78502.9
Sales management,12,4,192851.9,22517.5,91831.6,78502.9
market/marketing,12,4,192851.9,22517.5,91831.6,78502.9
Sales,12,4,192851.9,22517.5,91831.6,78502.9
Computer hardware,12,4,192851.9,22517.5,91831.6,78502.9
Internet development and application,12,4,192851.9,22517.5,91831.6,78502.9
IT-Management,12,4,192851.9,22517.5,91831.6,78502.9
"IT-QM, technical support and more",12,4,192851.9,22517.5,91831.6,78502.9
Communications technology,12,4,192851.9,22517.5,91831.6,78502.9
Electronics/appliances/semiconductor/instrumentation,12,4,192851.9,22517.5,91831.6,78502.9
Finance/auditing/tax,12,4,192851.9,22517.5,91831.6,78502.9
Engineering/machinery/energy,12,4,192851.9,22517.5,91831.6,78502.9
HR,12,4,192851.9,22517.5,91831.6,78502.9
Senior management,12,4,192851.9,22517.5,91831.6,78502.9
Logistics/warehousing,12,4,192851.9,22517.5,91831.6,78502.9
Art/graphics/Animation design,12,4,192851.9,22517.5,91831.6,78502.9
Science & Technology,12,4,192851.9,22517.5,91831.6,78502.9
Legal profession/law,12,4,192851.9,22517.5,91831.6,78502.9
Education,12,4,192851.9,22517.5,91831.6,78502.9
Hospital/medical/care,12,4,192851.9,22517.5,91831.6,78502.9
Counsel/consulting,12,4,192851.9,22517.5,91831.6,78502.9
Transportation service,12,4,192851.9,22517.5,91831.6,78502.9
Translation,12,4,192851.9,22517.5,91831.6,78502.9
Construction/infrastructure/gardening,12,4,192851.9,22517.5,91831.6,78502.9
Banking,12,4,192851.9,22517.5,91831.6,78502.9
Office administration/logistics,12,4,192851.9,22517.5,91831.6,78502.9
Customer service and technical support,12,4,192851.9,22517.5,91831.6,78502.9
Securities/finance/investment,12,4,192851.9,22517.5,91831.6,78502.9
Insurance,12,4,192851.9,22517.5,91831.6,78502.9
Production/operation,12,4,192851.9,22517.5,91831.6,78502.9
QMS/safety/environmental protection,12,4,192851.9,22517.5,91831.6,78502.9
Technical work,12,4,192851.9,22517.5,91831.6,78502.9
Fashion/textile/furs,12,4,192851.9,22517.5,91831.6,78502.9
Procurement,12,4,192851.9,22517.5,91831.6,78502.9
Trade,12,4,192851.9,22517.5,91831.6,78502.9
Biology/chemicals/pharmaceuticals/medical equipment,12,4,192851.9,22517.5,91831.6,78502.9
Advertising,12,4,192851.9,22517.5,91831.6,78502.9
"Movies, TV and recreation",12,4,192851.9,22517.5,91831.6,78502.9
Literature/screenwriting/writing,12,4,192851.9,22517.5,91831.6,78502.9
Real property,12,4,192851.9,22517.5,91831.6,78502.9
Property management,12,4,192851.9,22517.5,91831.6,78502.9
Restaurants & recreation,12,4,192851.9,22517.5,91831.6,78502.9
Hotels/tourism,12,4,192851.9,22517.5,91831.6,78502.9
Beauty and personal care,12,4,192851.9,22517.5,91831.6,78502.9
General merchandise/chains/retail,12,4,192851.9,22517.5,91831.6,78502.9
Security/housekeeping/other,12,4,192851.9,22517.5,91831.6,78502.9
Graduates,12,4,192851.9,22517.5,91831.6,78502.9
Other,12,4,192851.9,22517.5,91831.6,78502.9
Computer software,1,5,161456.3,8803.2,91268.1,61385.1
Sales management,1,5,161456.3,8803.2,91268.1,61385.1
market/marketing,1,5,161456.3,8803.2,91268.1,61385.1
Sales,1,5,161456.3,8803.2,91268.1,61385.1
Computer hardware,1,5,161456.3,8803.2,91268.1,61385.1
Internet development and application,1,5,161456.3,8803.2,91268.1,61385.1
"IT-QM, technical support and more",1,5,161456.3,8803.2,91268.1,61385.1
Electronics/appliances/semiconductor/instrumentation,1,5,161456.3,8803.2,91268.1,61385.1
Finance/auditing/tax,1,5,161456.3,8803.2,91268.1,61385.1
Engineering/machinery/energy,1,5,161456.3,8803.2,91268.1,61385.1
HR,1,5,161456.3,8803.2,91268.1,61385.1
Senior management,1,5,161456.3,8803.2,91268.1,61385.1
Logistics/warehousing,1,5,161456.3,8803.2,91268.1,61385.1
Art/graphics/Animation design,1,5,161456.3,8803.2,91268.1,61385.1
Legal profession/law,1,5,161456.3,8803.2,91268.1,61385.1
Hospital/medical/care,1,5,161456.3,8803.2,91268.1,61385.1
Counsel/consulting,1,5,161456.3,8803.2,91268.1,61385.1
Transportation service,1,5,161456.3,8803.2,91268.1,61385.1
Translation,1,5,161456.3,8803.2,91268.1,61385.1
Construction/infrastructure/gardening,1,5,161456.3,8803.2,91268.1,61385.1
Office administration/logistics,1,5,161456.3,8803.2,91268.1,61385.1
Customer service and technical support,1,5,161456.3,8803.2,91268.1,61385.1
Production/operation,1,5,161456.3,8803.2,91268.1,61385.1
QMS/safety/environmental protection,1,5,161456.3,8803.2,91268.1,61385.1
Technical work,1,5,161456.3,8803.2,91268.1,61385.1
Procurement,1,5,161456.3,8803.2,91268.1,61385.1
Trade,1,5,161456.3,8803.2,91268.1,61385.1
Biology/chemicals/pharmaceuticals/medical equipment,1,5,161456.3,8803.2,91268.1,61385.1
Advertising,1,5,161456.3,8803.2,91268.1,61385.1
Real property,1,5,161456.3,8803.2,91268.1,61385.1
Property management,1,5,161456.3,8803.2,91268.1,61385.1
Restaurants & recreation,1,5,161456.3,8803.2,91268.1,61385.1
Hotels/tourism,1,5,161456.3,8803.2,91268.1,61385.1
Beauty and personal care,1,5,161456.3,8803.2,91268.1,61385.1
General merchandise/chains/retail,1,5,161456.3,8803.2,91268.1,61385.1
Security/housekeeping/other,1,5,161456.3,8803.2,91268.1,61385.1
Graduates,1,5,161456.3,8803.2,91268.1,61385.1
Other,1,5,161456.3,8803.2,91268.1,61385.1
Computer software,2,6,161456.3,8803.2,91268.1,61385.1
Sales management,2,6,161456.3,8803.2,91268.1,61385.1
market/marketing,2,6,161456.3,8803.2,91268.1,61385.1
Sales,2,6,161456.3,8803.2,91268.1,61385.1
Computer hardware,2,6,161456.3,8803.2,91268.1,61385.1
Internet development and application,2,6,161456.3,8803.2,91268.1,61385.1
IT-Management,2,6,161456.3,8803.2,91268.1,61385.1
"IT-QM, technical support and more",2,6,161456.3,8803.2,91268.1,61385.1
Communications technology,2,6,161456.3,8803.2,91268.1,61385.1
Electronics/appliances/semiconductor/instrumentation,2,6,161456.3,8803.2,91268.1,61385.1
Finance/auditing/tax,2,6,161456.3,8803.2,91268.1,61385.1
Engineering/machinery/energy,2,6,161456.3,8803.2,91268.1,61385.1
HR,2,6,161456.3,8803.2,91268.1,61385.1
Senior management,2,6,161456.3,8803.2,91268.1,61385.1
Logistics/warehousing,2,6,161456.3,8803.2,91268.1,61385.1
Art/graphics/Animation design,2,6,161456.3,8803.2,91268.1,61385.1
Science & Technology,2,6,161456.3,8803.2,91268.1,61385.1
Legal profession/law,2,6,161456.3,8803.2,91268.1,61385.1
Education,2,6,161456.3,8803.2,91268.1,61385.1
Hospital/medical/care,2,6,161456.3,8803.2,91268.1,61385.1
Counsel/consulting,2,6,161456.3,8803.2,91268.1,61385.1
Transportation service,2,6,161456.3,8803.2,91268.1,61385.1
Construction/infrastructure/gardening,2,6,161456.3,8803.2,91268.1,61385.1
Banking,2,6,161456.3,8803.2,91268.1,61385.1
Office administration/logistics,2,6,161456.3,8803.2,91268.1,61385.1
Customer service and technical support,2,6,161456.3,8803.2,91268.1,61385.1
Securities/finance/investment,2,6,161456.3,8803.2,91268.1,61385.1
Insurance,2,6,161456.3,8803.2,91268.1,61385.1
Production/operation,2,6,161456.3,8803.2,91268.1,61385.1
QMS/safety/environmental protection,2,6,161456.3,8803.2,91268.1,61385.1
Technical work,2,6,161456.3,8803.2,91268.1,61385.1
Procurement,2,6,161456.3,8803.2,91268.1,61385.1
Trade,2,6,161456.3,8803.2,91268.1,61385.1
Biology/chemicals/pharmaceuticals/medical equipment,2,6,161456.3,8803.2,91268.1,61385.1
Advertising,2,6,161456.3,8803.2,91268.1,61385.1
PRs and news media,2,6,161456.3,8803.2,91268.1,61385.1
"Movies, TV and recreation",2,6,161456.3,8803.2,91268.1,61385.1
Literature/screenwriting/writing,2,6,161456.3,8803.2,91268.1,61385.1
Real property,2,6,161456.3,8803.2,91268.1,61385.1
Property management,2,6,161456.3,8803.2,91268.1,61385.1
Restaurants & recreation,2,6,161456.3,8803.2,91268.1,61385.1
Hotels/tourism,2,6,161456.3,8803.2,91268.1,61385.1
Beauty and personal care,2,6,161456.3,8803.2,91268.1,61385.1
General merchandise/chains/retail,2,6,161456.3,8803.2,91268.1,61385.1
Security/housekeeping/other,2,6,161456.3,8803.2,91268.1,61385.1
Graduates,2,6,161456.3,8803.2,91268.1,61385.1
Other,2,6,161456.3,8803.2,91268.1,61385.1
Computer software,3,7,161456.3,8803.2,91268.1,61385.1
Sales management,3,7,161456.3,8803.2,91268.1,61385.1
market/marketing,3,7,161456.3,8803.2,91268.1,61385.1
Sales,3,7,161456.3,8803.2,91268.1,61385.1
Computer hardware,3,7,161456.3,8803.2,91268.1,61385.1
Internet development and application,3,7,161456.3,8803.2,91268.1,61385.1
IT-Management,3,7,161456.3,8803.2,91268.1,61385.1
"IT-QM, technical support and more",3,7,161456.3,8803.2,91268.1,61385.1
Communications technology,3,7,161456.3,8803.2,91268.1,61385.1
Electronics/appliances/semiconductor/instrumentation,3,7,161456.3,8803.2,91268.1,61385.1
Finance/auditing/tax,3,7,161456.3,8803.2,91268.1,61385.1
Engineering/machinery/energy,3,7,161456.3,8803.2,91268.1,61385.1
HR,3,7,161456.3,8803.2,91268.1,61385.1
Senior management,3,7,161456.3,8803.2,91268.1,61385.1
Logistics/warehousing,3,7,161456.3,8803.2,91268.1,61385.1
Art/graphics/Animation design,3,7,161456.3,8803.2,91268.1,61385.1
Science & Technology,3,7,161456.3,8803.2,91268.1,61385.1
Legal profession/law,3,7,161456.3,8803.2,91268.1,61385.1
Education,3,7,161456.3,8803.2,91268.1,61385.1
Hospital/medical/care,3,7,161456.3,8803.2,91268.1,61385.1
Counsel/consulting,3,7,161456.3,8803.2,91268.1,61385.1
Transportation service,3,7,161456.3,8803.2,91268.1,61385.1
Translation,3,7,161456.3,8803.2,91268.1,61385.1
Construction/infrastructure/gardening,3,7,161456.3,8803.2,91268.1,61385.1
Banking,3,7,161456.3,8803.2,91268.1,61385.1
Office administration/logistics,3,7,161456.3,8803.2,91268.1,61385.1
Customer service and technical support,3,7,161456.3,8803.2,91268.1,61385.1
Securities/finance/investment,3,7,161456.3,8803.2,91268.1,61385.1
Insurance,3,7,161456.3,8803.2,91268.1,61385.1
Production/operation,3,7,161456.3,8803.2,91268.1,61385.1
QMS/safety/environmental protection,3,7,161456.3,8803.2,91268.1,61385.1
Technical work,3,7,161456.3,8803.2,91268.1,61385.1
Procurement,3,7,161456.3,8803.2,91268.1,61385.1
Trade,3,7,161456.3,8803.2,91268.1,61385.1
Biology/chemicals/pharmaceuticals/medical equipment,3,7,161456.3,8803.2,91268.1,61385.1
Advertising,3,7,161456.3,8803.2,91268.1,61385.1
PRs and news media,3,7,161456.3,8803.2,91268.1,61385.1
"Movies, TV and recreation",3,7,161456.3,8803.2,91268.1,61385.1
Literature/screenwriting/writing,3,7,161456.3,8803.2,91268.1,61385.1
Real property,3,7,161456.3,8803.2,91268.1,61385.1
Property management,3,7,161456.3,8803.2,91268.1,61385.1
Restaurants & recreation,3,7,161456.3,8803.2,91268.1,61385.1
Hotels/tourism,3,7,161456.3,8803.2,91268.1,61385.1
Beauty and personal care,3,7,161456.3,8803.2,91268.1,61385.1
General merchandise/chains/retail,3,7,161456.3,8803.2,91268.1,61385.1
Security/housekeeping/other,3,7,161456.3,8803.2,91268.1,61385.1
Graduates,3,7,161456.3,8803.2,91268.1,61385.1
Other,3,7,161456.3,8803.2,91268.1,61385.1
,4,8,180615.1,13294.1,93590.2,73730.7
Computer software,4,8,180615.1,13294.1,93590.2,73730.7
Sales management,4,8,180615.1,13294.1,93590.2,73730.7
market/marketing,4,8,180615.1,13294.1,93590.2,73730.7
Sales,4,8,180615.1,13294.1,93590.2,73730.7
Computer hardware,4,8,180615.1,13294.1,93590.2,73730.7
Internet development and application,4,8,180615.1,13294.1,93590.2,73730.7
IT-Management,4,8,180615.1,13294.1,93590.2,73730.7
"IT-QM, technical support and more",4,8,180615.1,13294.1,93590.2,73730.7
Communications technology,4,8,180615.1,13294.1,93590.2,73730.7
Electronics/appliances/semiconductor/instrumentation,4,8,180615.1,13294.1,93590.2,73730.7
Finance/auditing/tax,4,8,180615.1,13294.1,93590.2,73730.7
Engineering/machinery/energy,4,8,180615.1,13294.1,93590.2,73730.7
HR,4,8,180615.1,13294.1,93590.2,73730.7
Senior management,4,8,180615.1,13294.1,93590.2,73730.7
Logistics/warehousing,4,8,180615.1,13294.1,93590.2,73730.7
Art/graphics/Animation design,4,8,180615.1,13294.1,93590.2,73730.7
Science & Technology,4,8,180615.1,13294.1,93590.2,73730.7
Legal profession/law,4,8,180615.1,13294.1,93590.2,73730.7
Education,4,8,180615.1,13294.1,93590.2,73730.7
Hospital/medical/care,4,8,180615.1,13294.1,93590.2,73730.7
Counsel/consulting,4,8,180615.1,13294.1,93590.2,73730.7
Transportation service,4,8,180615.1,13294.1,93590.2,73730.7
Translation,4,8,180615.1,13294.1,93590.2,73730.7
Construction/infrastructure/gardening,4,8,180615.1,13294.1,93590.2,73730.7
Banking,4,8,180615.1,13294.1,93590.2,73730.7
Office administration/logistics,4,8,180615.1,13294.1,93590.2,73730.7
Customer service and technical support,4,8,180615.1,13294.1,93590.2,73730.7
Securities/finance/investment,4,8,180615.1,13294.1,93590.2,73730.7
Insurance,4,8,180615.1,13294.1,93590.2,73730.7
Production/operation,4,8,180615.1,13294.1,93590.2,73730.7
QMS/safety/environmental protection,4,8,180615.1,13294.1,93590.2,73730.7
Technical work,4,8,180615.1,13294.1,93590.2,73730.7
Procurement,4,8,180615.1,13294.1,93590.2,73730.7
Trade,4,8,180615.1,13294.1,93590.2,73730.7
Biology/chemicals/pharmaceuticals/medical equipment,4,8,180615.1,13294.1,93590.2,73730.7
Advertising,4,8,180615.1,13294.1,93590.2,73730.7
PRs and news media,4,8,180615.1,13294.1,93590.2,73730.7
"Movies, TV and recreation",4,8,180615.1,13294.1,93590.2,73730.7
Literature/screenwriting/writing,4,8,180615.1,13294.1,93590.2,73730.7
Real property,4,8,180615.1,13294.1,93590.2,73730.7
Property management,4,8,180615.1,13294.1,93590.2,73730.7
Restaurants & recreation,4,8,180615.1,13294.1,93590.2,73730.7
Hotels/tourism,4,8,180615.1,13294.1,93590.2,73730.7
Beauty and personal care,4,8,180615.1,13294.1,93590.2,73730.7
General merchandise/chains/retail,4,8,180615.1,13294.1,93590.2,73730.7
Security/housekeeping/other,4,8,180615.1,13294.1,93590.2,73730.7
Graduates,4,8,180615.1,13294.1,93590.2,73730.7
Other,4,8,180615.1,13294.1,93590.2,73730.7
,5,9,180615.1,13294.1,93590.2,73730.7
Computer software,5,9,180615.1,13294.1,93590.2,73730.7
Sales management,5,9,180615.1,13294.1,93590.2,73730.7
market/marketing,5,9,180615.1,13294.1,93590.2,73730.7
Sales,5,9,180615.1,13294.1,93590.2,73730.7
Computer hardware,5,9,180615.1,13294.1,93590.2,73730.7
Internet development and application,5,9,180615.1,13294.1,93590.2,73730.7
IT-Management,5,9,180615.1,13294.1,93590.2,73730.7
"IT-QM, technical support and more",5,9,180615.1,13294.1,93590.2,73730.7
Communications technology,5,9,180615.1,13294.1,93590.2,73730.7
Electronics/appliances/semiconductor/instrumentation,5,9,180615.1,13294.1,93590.2,73730.7
Finance/auditing/tax,5,9,180615.1,13294.1,93590.2,73730.7
Engineering/machinery/energy,5,9,180615.1,13294.1,93590.2,73730.7
HR,5,9,180615.1,13294.1,93590.2,73730.7
Senior management,5,9,180615.1,13294.1,93590.2,73730.7
Logistics/warehousing,5,9,180615.1,13294.1,93590.2,73730.7
Art/graphics/Animation design,5,9,180615.1,13294.1,93590.2,73730.7
Science & Technology,5,9,180615.1,13294.1,93590.2,73730.7
Legal profession/law,5,9,180615.1,13294.1,93590.2,73730.7
Education,5,9,180615.1,13294.1,93590.2,73730.7
Hospital/medical/care,5,9,180615.1,13294.1,93590.2,73730.7
Counsel/consulting,5,9,180615.1,13294.1,93590.2,73730.7
Transportation service,5,9,180615.1,13294.1,93590.2,73730.7
Translation,5,9,180615.1,13294.1,93590.2,73730.7
Construction/infrastructure/gardening,5,9,180615.1,13294.1,93590.2,73730.7
Office administration/logistics,5,9,180615.1,13294.1,93590.2,73730.7
Customer service and technical support,5,9,180615.1,13294.1,93590.2,73730.7
Securities/finance/investment,5,9,180615.1,13294.1,93590.2,73730.7
Insurance,5,9,180615.1,13294.1,93590.2,73730.7
Production/operation,5,9,180615.1,13294.1,93590.2,73730.7
QMS/safety/environmental protection,5,9,180615.1,13294.1,93590.2,73730.7
Technical work,5,9,180615.1,13294.1,93590.2,73730.7
Procurement,5,9,180615.1,13294.1,93590.2,73730.7
Trade,5,9,180615.1,13294.1,93590.2,73730.7
Biology/chemicals/pharmaceuticals/medical equipment,5,9,180615.1,13294.1,93590.2,73730.7
Advertising,5,9,180615.1,13294.1,93590.2,73730.7
PRs and news media,5,9,180615.1,13294.1,93590.2,73730.7
"Movies, TV and recreation",5,9,180615.1,13294.1,93590.2,73730.7
Literature/screenwriting/writing,5,9,180615.1,13294.1,93590.2,73730.7
Real property,5,9,180615.1,13294.1,93590.2,73730.7
Property management,5,9,180615.1,13294.1,93590.2,73730.7
Restaurants & recreation,5,9,180615.1,13294.1,93590.2,73730.7
Hotels/tourism,5,9,180615.1,13294.1,93590.2,73730.7
