Sector,month,total_monthes,国内生产总值,第一产业,第三产业,第二产业
Beauty and personal care,5,9,180615.1,13294.1,93590.2,73730.7
General merchandise/chains/retail,5,9,180615.1,13294.1,93590.2,73730.7
Security/housekeeping/other,5,9,180615.1,13294.1,93590.2,73730.7
Graduates,5,9,180615.1,13294.1,93590.2,73730.7
Other,5,9,180615.1,13294.1,93590.2,73730.7
,6,10,180615.1,13294.1,93590.2,73730.7
Computer software,6,10,180615.1,13294.1,93590.2,73730.7
Sales management,6,10,180615.1,13294.1,93590.2,73730.7
market/marketing,6,10,180615.1,13294.1,93590.2,73730.7
Sales,6,10,180615.1,13294.1,93590.2,73730.7
Computer hardware,6,10,180615.1,13294.1,93590.2,73730.7
Internet development and application,6,10,180615.1,13294.1,93590.2,73730.7
IT-Management,6,10,180615.1,13294.1,93590.2,73730.7
"IT-QM, technical support and more",6,10,180615.1,13294.1,93590.2,73730.7
Communications technology,6,10,180615.1,13294.1,93590.2,73730.7
Electronics/appliances/semiconductor/instrumentation,6,10,180615.1,13294.1,93590.2,73730.7
Finance/auditing/tax,6,10,180615.1,13294.1,93590.2,73730.7
Engineering/machinery/energy,6,10,180615.1,13294.1,93590.2,73730.7
HR,6,10,180615.1,13294.1,93590.2,73730.7
Senior management,6,10,180615.1,13294.1,93590.2,73730.7
Logistics/warehousing,6,10,180615.1,13294.1,93590.2,73730.7
Art/graphics/Animation design,6,10,180615.1,13294.1,93590.2,73730.7
Science & Technology,6,10,180615.1,13294.1,93590.2,73730.7
Legal profession/law,6,10,180615.1,13294.1,93590.2,73730.7
Education,6,10,180615.1,13294.1,93590.2,73730.7
Hospital/medical/care,6,10,180615.1,13294.1,93590.2,73730.7
Counsel/consulting,6,10,180615.1,13294.1,93590.2,73730.7
Transportation service,6,10,180615.1,13294.1,93590.2,73730.7
Construction/infrastructure/gardening,6,10,180615.1,13294.1,93590.2,73730.7
Office administration/logistics,6,10,180615.1,13294.1,93590.2,73730.7
Customer service and technical support,6,10,180615.1,13294.1,93590.2,73730.7
Securities/finance/investment,6,10,180615.1,13294.1,93590.2,73730.7
Insurance,6,10,180615.1,13294.1,93590.2,73730.7
Production/operation,6,10,180615.1,13294.1,93590.2,73730.7
QMS/safety/environmental protection,6,10,180615.1,13294.1,93590.2,73730.7
Technical work,6,10,180615.1,13294.1,93590.2,73730.7
Fashion/textile/furs,6,10,180615.1,13294.1,93590.2,73730.7
Procurement,6,10,180615.1,13294.1,93590.2,73730.7
Trade,6,10,180615.1,13294.1,93590.2,73730.7
Biology/chemicals/pharmaceuticals/medical equipment,6,10,180615.1,13294.1,93590.2,73730.7
Advertising,6,10,180615.1,13294.1,93590.2,73730.7
PRs and news media,6,10,180615.1,13294.1,93590.2,73730.7
"Movies, TV and recreation",6,10,180615.1,13294.1,93590.2,73730.7
Literature/screenwriting/writing,6,10,180615.1,13294.1,93590.2,73730.7
Real property,6,10,180615.1,13294.1,93590.2,73730.7
Property management,6,10,180615.1,13294.1,93590.2,73730.7
Restaurants & recreation,6,10,180615.1,13294.1,93590.2,73730.7
Hotels/tourism,6,10,180615.1,13294.1,93590.2,73730.7
Beauty and personal care,6,10,180615.1,13294.1,93590.2,73730.7
General merchandise/chains/retail,6,10,180615.1,13294.1,93590.2,73730.7
Security/housekeeping/other,6,10,180615.1,13294.1,93590.2,73730.7
Graduates,6,10,180615.1,13294.1,93590.2,73730.7
Other,6,10,180615.1,13294.1,93590.2,73730.7
,7,11,190362.6,18569.8,96153.9,75639
Computer software,7,11,190362.6,18569.8,96153.9,75639
Sales management,7,11,190362.6,18569.8,96153.9,75639
market/marketing,7,11,190362.6,18569.8,96153.9,75639
Sales,7,11,190362.6,18569.8,96153.9,75639
Computer hardware,7,11,190362.6,18569.8,96153.9,75639
Internet development and application,7,11,190362.6,18569.8,96153.9,75639
IT-Management,7,11,190362.6,18569.8,96153.9,75639
"IT-QM, technical support and more",7,11,190362.6,18569.8,96153.9,75639
Communications technology,7,11,190362.6,18569.8,96153.9,75639
Electronics/appliances/semiconductor/instrumentation,7,11,190362.6,18569.8,96153.9,75639
Finance/auditing/tax,7,11,190362.6,18569.8,96153.9,75639
Engineering/machinery/energy,7,11,190362.6,18569.8,96153.9,75639
HR,7,11,190362.6,18569.8,96153.9,75639
Senior management,7,11,190362.6,18569.8,96153.9,75639
Logistics/warehousing,7,11,190362.6,18569.8,96153.9,75639
Art/graphics/Animation design,7,11,190362.6,18569.8,96153.9,75639
Legal profession/law,7,11,190362.6,18569.8,96153.9,75639
Education,7,11,190362.6,18569.8,96153.9,75639
Hospital/medical/care,7,11,190362.6,18569.8,96153.9,75639
Counsel/consulting,7,11,190362.6,18569.8,96153.9,75639
Transportation service,7,11,190362.6,18569.8,96153.9,75639
Translation,7,11,190362.6,18569.8,96153.9,75639
Construction/infrastructure/gardening,7,11,190362.6,18569.8,96153.9,75639
Banking,7,11,190362.6,18569.8,96153.9,75639
Office administration/logistics,7,11,190362.6,18569.8,96153.9,75639
Customer service and technical support,7,11,190362.6,18569.8,96153.9,75639
Securities/finance/investment,7,11,190362.6,18569.8,96153.9,75639
Insurance,7,11,190362.6,18569.8,96153.9,75639
Production/operation,7,11,190362.6,18569.8,96153.9,75639
QMS/safety/environmental protection,7,11,190362.6,18569.8,96153.9,75639
Technical work,7,11,190362.6,18569.8,96153.9,75639
Fashion/textile/furs,7,11,190362.6,18569.8,96153.9,75639
Procurement,7,11,190362.6,18569.8,96153.9,75639
Trade,7,11,190362.6,18569.8,96153.9,75639
Biology/chemicals/pharmaceuticals/medical equipment,7,11,190362.6,18569.8,96153.9,75639
Advertising,7,11,190362.6,18569.8,96153.9,75639
PRs and news media,7,11,190362.6,18569.8,96153.9,75639
"Movies, TV and recreation",7,11,190362.6,18569.8,96153.9,75639
Literature/screenwriting/writing,7,11,190362.6,18569.8,96153.9,75639
Real property,7,11,190362.6,18569.8,96153.9,75639
Property management,7,11,190362.6,18569.8,96153.9,75639
Restaurants & recreation,7,11,190362.6,18569.8,96153.9,75639
Hotels/tourism,7,11,190362.6,18569.8,96153.9,75639
Beauty and personal care,7,11,190362.6,18569.8,96153.9,75639
General merchandise/chains/retail,7,11,190362.6,18569.8,96153.9,75639
Security/housekeeping/other,7,11,190362.6,18569.8,96153.9,75639
Graduates,7,11,190362.6,18569.8,96153.9,75639
Other,7,11,190362.6,18569.8,96153.9,75639
,8,12,190362.6,18569.8,96153.9,75639
Computer software,8,12,190362.6,18569.8,96153.9,75639
Sales management,8,12,190362.6,18569.8,96153.9,75639
market/marketing,8,12,190362.6,18569.8,96153.9,75639
Sales,8,12,190362.6,18569.8,96153.9,75639
Computer hardware,8,12,190362.6,18569.8,96153.9,75639
Internet development and application,8,12,190362.6,18569.8,96153.9,75639
IT-Management,8,12,190362.6,18569.8,96153.9,75639
"IT-QM, technical support and more",8,12,190362.6,18569.8,96153.9,75639
Communications technology,8,12,190362.6,18569.8,96153.9,75639
Electronics/appliances/semiconductor/instrumentation,8,12,190362.6,18569.8,96153.9,75639
Finance/auditing/tax,8,12,190362.6,18569.8,96153.9,75639
Engineering/machinery/energy,8,12,190362.6,18569.8,96153.9,75639
HR,8,12,190362.6,18569.8,96153.9,75639
Senior management,8,12,190362.6,18569.8,96153.9,75639
Logistics/warehousing,8,12,190362.6,18569.8,96153.9,75639
Art/graphics/Animation design,8,12,190362.6,18569.8,96153.9,75639
Science & Technology,8,12,190362.6,18569.8,96153.9,75639
Education,8,12,190362.6,18569.8,96153.9,75639
Hospital/medical/care,8,12,190362.6,18569.8,96153.9,75639
Counsel/consulting,8,12,190362.6,18569.8,96153.9,75639
Transportation service,8,12,190362.6,18569.8,96153.9,75639
Construction/infrastructure/gardening,8,12,190362.6,18569.8,96153.9,75639
Banking,8,12,190362.6,18569.8,96153.9,75639
Office administration/logistics,8,12,190362.6,18569.8,96153.9,75639
Customer service and technical support,8,12,190362.6,18569.8,96153.9,75639
Securities/finance/investment,8,12,190362.6,18569.8,96153.9,75639
Insurance,8,12,190362.6,18569.8,96153.9,75639
Production/operation,8,12,190362.6,18569.8,96153.9,75639
QMS/safety/environmental protection,8,12,190362.6,18569.8,96153.9,75639
Technical work,8,12,190362.6,18569.8,96153.9,75639
Procurement,8,12,190362.6,18569.8,96153.9,75639
Trade,8,12,190362.6,18569.8,96153.9,75639
Biology/chemicals/pharmaceuticals/medical equipment,8,12,190362.6,18569.8,96153.9,75639
Advertising,8,12,190362.6,18569.8,96153.9,75639
PRs and news media,8,12,190362.6,18569.8,96153.9,75639
"Movies, TV and recreation",8,12,190362.6,18569.8,96153.9,75639
Literature/screenwriting/writing,8,12,190362.6,18569.8,96153.9,75639
Real property,8,12,190362.6,18569.8,96153.9,75639
Property management,8,12,190362.6,18569.8,96153.9,75639
Restaurants & recreation,8,12,190362.6,18569.8,96153.9,75639
Hotels/tourism,8,12,190362.6,18569.8,96153.9,75639
Beauty and personal care,8,12,190362.6,18569.8,96153.9,75639
General merchandise/chains/retail,8,12,190362.6,18569.8,96153.9,75639
Security/housekeeping/other,8,12,190362.6,18569.8,96153.9,75639
Graduates,8,12,190362.6,18569.8,96153.9,75639
Other,8,12,190362.6,18569.8,96153.9,75639
,9,13,190362.6,18569.8,96153.9,75639
Computer software,9,13,190362.6,18569.8,96153.9,75639
Sales management,9,13,190362.6,18569.8,96153.9,75639
market/marketing,9,13,190362.6,18569.8,96153.9,75639
Sales,9,13,190362.6,18569.8,96153.9,75639
Computer hardware,9,13,190362.6,18569.8,96153.9,75639
Internet development and application,9,13,190362.6,18569.8,96153.9,75639
IT-Management,9,13,190362.6,18569.8,96153.9,75639
"IT-QM, technical support and more",9,13,190362.6,18569.8,96153.9,75639
Communications technology,9,13,190362.6,18569.8,96153.9,75639
Electronics/appliances/semiconductor/instrumentation,9,13,190362.6,18569.8,96153.9,75639
Finance/auditing/tax,9,13,190362.6,18569.8,96153.9,75639
Engineering/machinery/energy,9,13,190362.6,18569.8,96153.9,75639
HR,9,13,190362.6,18569.8,96153.9,75639
Senior management,9,13,190362.6,18569.8,96153.9,75639
Logistics/warehousing,9,13,190362.6,18569.8,96153.9,75639
Art/graphics/Animation design,9,13,190362.6,18569.8,96153.9,75639
Science & Technology,9,13,190362.6,18569.8,96153.9,75639
Legal profession/law,9,13,190362.6,18569.8,96153.9,75639
Education,9,13,190362.6,18569.8,96153.9,75639
Hospital/medical/care,9,13,190362.6,18569.8,96153.9,75639
Counsel/consulting,9,13,190362.6,18569.8,96153.9,75639
Transportation service,9,13,190362.6,18569.8,96153.9,75639
Translation,9,13,190362.6,18569.8,96153.9,75639
Construction/infrastructure/gardening,9,13,190362.6,18569.8,96153.9,75639
Office administration/logistics,9,13,190362.6,18569.8,96153.9,75639
Customer service and technical support,9,13,190362.6,18569.8,96153.9,75639
Securities/finance/investment,9,13,190362.6,18569.8,96153.9,75639
Insurance,9,13,190362.6,18569.8,96153.9,75639
Production/operation,9,13,190362.6,18569.8,96153.9,75639
QMS/safety/environmental protection,9,13,190362.6,18569.8,96153.9,75639
Technical work,9,13,190362.6,18569.8,96153.9,75639
Fashion/textile/furs,9,13,190362.6,18569.8,96153.9,75639
Procurement,9,13,190362.6,18569.8,96153.9,75639
Trade,9,13,190362.6,18569.8,96153.9,75639
Biology/chemicals/pharmaceuticals/medical equipment,9,13,190362.6,18569.8,96153.9,75639
Advertising,9,13,190362.6,18569.8,96153.9,75639
PRs and news media,9,13,190362.6,18569.8,96153.9,75639
"Movies, TV and recreation",9,13,190362.6,18569.8,96153.9,75639
Literature/screenwriting/writing,9,13,190362.6,18569.8,96153.9,75639
Real property,9,13,190362.6,18569.8,96153.9,75639
Property management,9,13,190362.6,18569.8,96153.9,75639
Restaurants & recreation,9,13,190362.6,18569.8,96153.9,75639
Hotels/tourism,9,13,190362.6,18569.8,96153.9,75639
Beauty and personal care,9,13,190362.6,18569.8,96153.9,75639
General merchandise/chains/retail,9,13,190362.6,18569.8,96153.9,75639
Security/housekeeping/other,9,13,190362.6,18569.8,96153.9,75639
Graduates,9,13,190362.6,18569.8,96153.9,75639
Other,9,13,190362.6,18569.8,96153.9,75639
,10,14,211151.5,23005.7,102352.8,85792.9
Computer software,10,14,211151.5,23005.7,102352.8,85792.9
Sales management,10,14,211151.5,23005.7,102352.8,85792.9
market/marketing,10,14,211151.5,23005.7,102352.8,85792.9
Sales,10,14,211151.5,23005.7,102352.8,85792.9
Computer hardware,10,14,211151.5,23005.7,102352.8,85792.9
Internet development and application,10,14,211151.5,23005.7,102352.8,85792.9
IT-Management,10,14,211151.5,23005.7,102352.8,85792.9
"IT-QM, technical support and more",10,14,211151.5,23005.7,102352.8,85792.9
Communications technology,10,14,211151.5,23005.7,102352.8,85792.9
Electronics/appliances/semiconductor/instrumentation,10,14,211151.5,23005.7,102352.8,85792.9
Finance/auditing/tax,10,14,211151.5,23005.7,102352.8,85792.9
Engineering/machinery/energy,10,14,211151.5,23005.7,102352.8,85792.9
HR,10,14,211151.5,23005.7,102352.8,85792.9
Senior management,10,14,211151.5,23005.7,102352.8,85792.9
Logistics/warehousing,10,14,211151.5,23005.7,102352.8,85792.9
Art/graphics/Animation design,10,14,211151.5,23005.7,102352.8,85792.9
Science & Technology,10,14,211151.5,23005.7,102352.8,85792.9
Legal profession/law,10,14,211151.5,23005.7,102352.8,85792.9
Education,10,14,211151.5,23005.7,102352.8,85792.9
Hospital/medical/care,10,14,211151.5,23005.7,102352.8,85792.9
Counsel/consulting,10,14,211151.5,23005.7,102352.8,85792.9
Transportation service,10,14,211151.5,23005.7,102352.8,85792.9
Translation,10,14,211151.5,23005.7,102352.8,85792.9
Construction/infrastructure/gardening,10,14,211151.5,23005.7,102352.8,85792.9
Office administration/logistics,10,14,211151.5,23005.7,102352.8,85792.9
Customer service and technical support,10,14,211151.5,23005.7,102352.8,85792.9
Securities/finance/investment,10,14,211151.5,23005.7,102352.8,85792.9
Insurance,10,14,211151.5,23005.7,102352.8,85792.9
Production/operation,10,14,211151.5,23005.7,102352.8,85792.9
QMS/safety/environmental protection,10,14,211151.5,23005.7,102352.8,85792.9
Technical work,10,14,211151.5,23005.7,102352.8,85792.9
Procurement,10,14,211151.5,23005.7,102352.8,85792.9
Trade,10,14,211151.5,23005.7,102352.8,85792.9
Biology/chemicals/pharmaceuticals/medical equipment,10,14,211151.5,23005.7,102352.8,85792.9
Advertising,10,14,211151.5,23005.7,102352.8,85792.9
PRs and news media,10,14,211151.5,23005.7,102352.8,85792.9
"Movies, TV and recreation",10,14,211151.5,23005.7,102352.8,85792.9
Literature/screenwriting/writing,10,14,211151.5,23005.7,102352.8,85792.9
Real property,10,14,211151.5,23005.7,102352.8,85792.9
Property management,10,14,211151.5,23005.7,102352.8,85792.9
Restaurants & recreation,10,14,211151.5,23005.7,102352.8,85792.9
Hotels/tourism,10,14,211151.5,23005.7,102352.8,85792.9
Beauty and personal care,10,14,211151.5,23005.7,102352.8,85792.9
General merchandise/chains/retail,10,14,211151.5,23005.7,102352.8,85792.9
Security/housekeeping/other,10,14,211151.5,23005.7,102352.8,85792.9
Graduates,10,14,211151.5,23005.7,102352.8,85792.9
Other,10,14,211151.5,23005.7,102352.8,85792.9
,11,15,211151.5,23005.7,102352.8,85792.9
Computer software,11,15,211151.5,23005.7,102352.8,85792.9
Sales management,11,15,211151.5,23005.7,102352.8,85792.9
market/marketing,11,15,211151.5,23005.7,102352.8,85792.9
Sales,11,15,211151.5,23005.7,102352.8,85792.9
Computer hardware,11,15,211151.5,23005.7,102352.8,85792.9
Internet development and application,11,15,211151.5,23005.7,102352.8,85792.9
IT-Management,11,15,211151.5,23005.7,102352.8,85792.9
"IT-QM, technical support and more",11,15,211151.5,23005.7,102352.8,85792.9
Communications technology,11,15,211151.5,23005.7,102352.8,85792.9
Electronics/appliances/semiconductor/instrumentation,11,15,211151.5,23005.7,102352.8,85792.9
Finance/auditing/tax,11,15,211151.5,23005.7,102352.8,85792.9
Engineering/machinery/energy,11,15,211151.5,23005.7,102352.8,85792.9
HR,11,15,211151.5,23005.7,102352.8,85792.9
Senior management,11,15,211151.5,23005.7,102352.8,85792.9
Logistics/warehousing,11,15,211151.5,23005.7,102352.8,85792.9
Art/graphics/Animation design,11,15,211151.5,23005.7,102352.8,85792.9
Legal profession/law,11,15,211151.5,23005.7,102352.8,85792.9
Education,11,15,211151.5,23005.7,102352.8,85792.9
Hospital/medical/care,11,15,211151.5,23005.7,102352.8,85792.9
Counsel/consulting,11,15,211151.5,23005.7,102352.8,85792.9
Transportation service,11,15,211151.5,23005.7,102352.8,85792.9
Construction/infrastructure/gardening,11,15,211151.5,23005.7,102352.8,85792.9
Banking,11,15,211151.5,23005.7,102352.8,85792.9
Office administration/logistics,11,15,211151.5,23005.7,102352.8,85792.9
Customer service and technical support,11,15,211151.5,23005.7,102352.8,85792.9
Securities/finance/investment,11,15,211151.5,23005.7,102352.8,85792.9
Insurance,11,15,211151.5,23005.7,102352.8,85792.9
Production/operation,11,15,211151.5,23005.7,102352.8,85792.9
QMS/safety/environmental protection,11,15,211151.5,23005.7,102352.8,85792.9
Technical work,11,15,211151.5,23005.7,102352.8,85792.9
Procurement,11,15,211151.5,23005.7,102352.8,85792.9
Trade,11,15,211151.5,23005.7,102352.8,85792.9
Biology/chemicals/pharmaceuticals/medical equipment,11,15,211151.5,23005.7,102352.8,85792.9
Advertising,11,15,211151.5,23005.7,102352.8,85792.9
PRs and news media,11,15,211151.5,23005.7,102352.8,85792.9
"Movies, TV and recreation",11,15,211151.5,23005.7,102352.8,85792.9
Literature/screenwriting/writing,11,15,211151.5,23005.7,102352.8,85792.9
Real property,11,15,211151.5,23005.7,102352.8,85792.9
Property management,11,15,211151.5,23005.7,102352.8,85792.9
Restaurants & recreation,11,15,211151.5,23005.7,102352.8,85792.9
Hotels/tourism,11,15,211151.5,23005.7,102352.8,85792.9
Beauty and personal care,11,15,211151.5,23005.7,102352.8,85792.9
General merchandise/chains/retail,11,15,211151.5,23005.7,102352.8,85792.9
Security/housekeeping/other,11,15,211151.5,23005.7,102352.8,85792.9
Graduates,11,15,211151.5,23005.7,102352.8,85792.9
Other,11,15,211151.5,23005.7,102352.8,85792.9
,12,16,211151.5,23005.7,102352.8,85792.9
Computer software,12,16,211151.5,23005.7,102352.8,85792.9
Sales management,12,16,211151.5,23005.7,102352.8,85792.9
market/marketing,12,16,211151.5,23005.7,102352.8,85792.9
Sales,12,16,211151.5,23005.7,102352.8,85792.9
Computer hardware,12,16,211151.5,23005.7,102352.8,85792.9
Internet development and application,12,16,211151.5,23005.7,102352.8,85792.9
"IT-QM, technical support and more",12,16,211151.5,23005.7,102352.8,85792.9
Communications technology,12,16,211151.5,23005.7,102352.8,85792.9
Electronics/appliances/semiconductor/instrumentation,12,16,211151.5,23005.7,102352.8,85792.9
Finance/auditing/tax,12,16,211151.5,23005.7,102352.8,85792.9
Engineering/machinery/energy,12,16,211151.5,23005.7,102352.8,85792.9
HR,12,16,211151.5,23005.7,102352.8,85792.9
Senior management,12,16,211151.5,23005.7,102352.8,85792.9
Logistics/warehousing,12,16,211151.5,23005.7,102352.8,85792.9
Art/graphics/Animation design,12,16,211151.5,23005.7,102352.8,85792.9
Science & Technology,12,16,211151.5,23005.7,102352.8,85792.9
Legal profession/law,12,16,211151.5,23005.7,102352.8,85792.9
Education,12,16,211151.5,23005.7,102352.8,85792.9
Hospital/medical/care,12,16,211151.5,23005.7,102352.8,85792.9
Counsel/consulting,12,16,211151.5,23005.7,102352.8,85792.9
Transportation service,12,16,211151.5,23005.7,102352.8,85792.9
Construction/infrastructure/gardening,12,16,211151.5,23005.7,102352.8,85792.9
Office administration/logistics,12,16,211151.5,23005.7,102352.8,85792.9
Customer service and technical support,12,16,211151.5,23005.7,102352.8,85792.9
Securities/finance/investment,12,16,211151.5,23005.7,102352.8,85792.9
Production/operation,12,16,211151.5,23005.7,102352.8,85792.9
QMS/safety/environmental protection,12,16,211151.5,23005.7,102352.8,85792.9
Technical work,12,16,211151.5,23005.7,102352.8,85792.9
Fashion/textile/furs,12,16,211151.5,23005.7,102352.8,85792.9
Procurement,12,16,211151.5,23005.7,102352.8,85792.9
Biology/chemicals/pharmaceuticals/medical equipment,12,16,211151.5,23005.7,102352.8,85792.9
Advertising,12,16,211151.5,23005.7,102352.8,85792.9
PRs and news media,12,16,211151.5,23005.7,102352.8,85792.9
Literature/screenwriting/writing,12,16,211151.5,23005.7,102352.8,85792.9
Real property,12,16,211151.5,23005.7,102352.8,85792.9
Property management,12,16,211151.5,23005.7,102352.8,85792.9
Restaurants & recreation,12,16,211151.5,23005.7,102352.8,85792.9
Hotels/tourism,12,16,211151.5,23005.7,102352.8,85792.9
Beauty and personal care,12,16,211151.5,23005.7,102352.8,85792.9
General merchandise/chains/retail,12,16,211151.5,23005.7,102352.8,85792.9
Security/housekeeping/other,12,16,211151.5,23005.7,102352.8,85792.9
Graduates,12,16,211151.5,23005.7,102352.8,85792.9
Other,12,16,211151.5,23005.7,102352.8,85792.9
,1,17,180385.3,8654,101646.9,70084.4
Computer software,1,17,180385.3,8654,101646.9,70084.4
Sales management,1,17,180385.3,8654,101646.9,70084.4
market/marketing,1,17,180385.3,8654,101646.9,70084.4
Sales,1,17,180385.3,8654,101646.9,70084.4
Internet development and application,1,17,180385.3,8654,101646.9,70084.4
"IT-QM, technical support and more",1,17,180385.3,8654,101646.9,70084.4
Electronics/appliances/semiconductor/instrumentation,1,17,180385.3,8654,101646.9,70084.4
Finance/auditing/tax,1,17,180385.3,8654,101646.9,70084.4
Engineering/machinery/energy,1,17,180385.3,8654,101646.9,70084.4
HR,1,17,180385.3,8654,101646.9,70084.4
Senior management,1,17,180385.3,8654,101646.9,70084.4
Logistics/warehousing,1,17,180385.3,8654,101646.9,70084.4
Art/graphics/Animation design,1,17,180385.3,8654,101646.9,70084.4
Science & Technology,1,17,180385.3,8654,101646.9,70084.4
Legal profession/law,1,17,180385.3,8654,101646.9,70084.4
Education,1,17,180385.3,8654,101646.9,70084.4
Hospital/medical/care,1,17,180385.3,8654,101646.9,70084.4
Counsel/consulting,1,17,180385.3,8654,101646.9,70084.4
Transportation service,1,17,180385.3,8654,101646.9,70084.4
Translation,1,17,180385.3,8654,101646.9,70084.4
Construction/infrastructure/gardening,1,17,180385.3,8654,101646.9,70084.4
Office administration/logistics,1,17,180385.3,8654,101646.9,70084.4
Production/operation,1,17,180385.3,8654,101646.9,70084.4
QMS/safety/environmental protection,1,17,180385.3,8654,101646.9,70084.4
Technical work,1,17,180385.3,8654,101646.9,70084.4
Property management,1,17,180385.3,8654,101646.9,70084.4
Restaurants & recreation,1,17,180385.3,8654,101646.9,70084.4
Hotels/tourism,1,17,180385.3,8654,101646.9,70084.4
Beauty and personal care,1,17,180385.3,8654,101646.9,70084.4
Security/housekeeping/other,1,17,180385.3,8654,101646.9,70084.4
Graduates,1,17,180385.3,8654,101646.9,70084.4
Other,1,17,180385.3,8654,101646.9,70084.4
,2,18,180385.3,8654,101646.9,70084.4
Computer software,2,18,180385.3,8654,101646.9,70084.4
Sales management,2,18,180385.3,8654,101646.9,70084.4
market/marketing,2,18,180385.3,8654,101646.9,70084.4
Sales,2,18,180385.3,8654,101646.9,70084.4
Computer hardware,2,18,180385.3,8654,101646.9,70084.4
Internet development and application,2,18,180385.3,8654,101646.9,70084.4
IT-Management,2,18,180385.3,8654,101646.9,70084.4
"IT-QM, technical support and more",2,18,180385.3,8654,101646.9,70084.4
Communications technology,2,18,180385.3,8654,101646.9,70084.4
Electronics/appliances/semiconductor/instrumentation,2,18,180385.3,8654,101646.9,70084.4
Finance/auditing/tax,2,18,180385.3,8654,101646.9,70084.4
Engineering/machinery/energy,2,18,180385.3,8654,101646.9,70084.4
HR,2,18,180385.3,8654,101646.9,70084.4
Senior management,2,18,180385.3,8654,101646.9,70084.4
Logistics/warehousing,2,18,180385.3,8654,101646.9,70084.4
Art/graphics/Animation design,2,18,180385.3,8654,101646.9,70084.4
Science & Technology,2,18,180385.3,8654,101646.9,70084.4
Legal profession/law,2,18,180385.3,8654,101646.9,70084.4
Education,2,18,180385.3,8654,101646.9,70084.4
Hospital/medical/care,2,18,180385.3,8654,101646.9,70084.4
Counsel/consulting,2,18,180385.3,8654,101646.9,70084.4
Transportation service,2,18,180385.3,8654,101646.9,70084.4
Translation,2,18,180385.3,8654,101646.9,70084.4
Construction/infrastructure/gardening,2,18,180385.3,8654,101646.9,70084.4
Banking,2,18,180385.3,8654,101646.9,70084.4
Office administration/logistics,2,18,180385.3,8654,101646.9,70084.4
Customer service and technical support,2,18,180385.3,8654,101646.9,70084.4
Securities/finance/investment,2,18,180385.3,8654,101646.9,70084.4
Insurance,2,18,180385.3,8654,101646.9,70084.4
Production/operation,2,18,180385.3,8654,101646.9,70084.4
QMS/safety/environmental protection,2,18,180385.3,8654,101646.9,70084.4
Technical work,2,18,180385.3,8654,101646.9,70084.4
Fashion/textile/furs,2,18,180385.3,8654,101646.9,70084.4
Procurement,2,18,180385.3,8654,101646.9,70084.4
Trade,2,18,180385.3,8654,101646.9,70084.4
Biology/chemicals/pharmaceuticals/medical equipment,2,18,180385.3,8654,101646.9,70084.4
Advertising,2,18,180385.3,8654,101646.9,70084.4
PRs and news media,2,18,180385.3,8654,101646.9,70084.4
"Movies, TV and recreation",2,18,180385.3,8654,101646.9,70084.4
Literature/screenwriting/writing,2,18,180385.3,8654,101646.9,70084.4
